Episode,Step,State_Moisture,State_Temperature,State_Sunlight,Action,Reward,Next_Moisture,Next_Temperature,Next_Sunlight,Epsilon
1,1,Dry,Low,Medium,Water Pump OFF,2,Optimal,Low,Medium,1.0
1,2,Optimal,Low,Medium,Close shade curtains,7,Optimal,Low,Low,1.0
1,3,Optimal,Low,Low,Heater ON,3,Optimal,Optimal,Low,1.0
1,4,Optimal,Optimal,Low,Close shade curtains,6,Optimal,Optimal,Low,1.0
1,5,Optimal,Optimal,Low,Do nothing,6,Optimal,Optimal,Low,1.0
1,6,Optimal,Optimal,Low,Water Pump ON,6,Wet,Optimal,Low,1.0
1,7,Wet,Optimal,Low,Close shade curtains,3,Wet,Optimal,Low,1.0
1,8,Wet,Optimal,Low,Heater OFF,3,Wet,Low,Low,1.0
1,9,Wet,Low,Low,Heater ON,0,Wet,Optimal,Low,1.0
1,10,Wet,Optimal,Low,Water Pump OFF,3,Optimal,Optimal,Low,1.0
1,11,Optimal,Optimal,Low,Water Pump OFF,6,Dry,Optimal,Low,1.0
1,12,Dry,Optimal,Low,Water Pump OFF,1,Optimal,Optimal,Low,1.0
1,13,Optimal,Optimal,Low,Heater OFF,6,Optimal,Low,Low,1.0
1,14,Optimal,Low,Low,Heater ON,3,Optimal,Low,Low,1.0
1,15,Optimal,Low,Low,Water Pump ON,3,Wet,Low,Low,1.0
1,16,Wet,Low,Low,Open shade curtains,0,Wet,Low,Low,1.0
1,17,Wet,Low,Low,Water Pump ON,-5,Wet,Low,Low,1.0
1,18,Wet,Low,Low,Water Pump OFF,0,Optimal,Low,Low,1.0
1,19,Optimal,Low,Low,Water Pump ON,3,Wet,Low,Low,1.0
1,20,Wet,Low,Low,Close shade curtains,0,Wet,Low,Low,1.0
1,21,Wet,Low,Low,Close shade curtains,0,Wet,Low,Low,1.0
1,22,Wet,Low,Low,Water Pump ON,-5,Wet,Low,Low,1.0
1,23,Wet,Low,Low,Water Pump ON,-5,Wet,Low,Low,1.0
1,24,Wet,Low,Low,Close shade curtains,0,Wet,Low,Low,1.0
1,25,Wet,Low,Low,Do nothing,0,Wet,Low,Low,1.0
1,26,Wet,Low,Low,Open shade curtains,0,Wet,Low,Medium,1.0
1,27,Wet,Low,Medium,Heater OFF,4,Wet,Optimal,Medium,1.0
1,28,Wet,Optimal,Medium,Water Pump ON,2,Wet,Optimal,Medium,1.0
1,29,Wet,Optimal,Medium,Heater ON,7,Wet,High,Medium,1.0
1,30,Wet,High,Medium,Water Pump OFF,4,Optimal,High,Medium,1.0
1,31,Optimal,High,Medium,Close shade curtains,7,Optimal,High,Low,1.0
1,32,Optimal,High,Low,Do nothing,3,Optimal,High,Low,1.0
1,33,Optimal,High,Low,Heater OFF,3,Optimal,Optimal,Low,1.0
1,34,Optimal,Optimal,Low,Water Pump OFF,6,Dry,Optimal,High,1.0
1,35,Dry,Optimal,High,Water Pump ON,3,Optimal,Optimal,High,1.0
1,36,Optimal,Optimal,High,Water Pump ON,6,Wet,Optimal,High,1.0
1,37,Wet,Optimal,High,Heater ON,3,Wet,High,High,1.0
1,38,Wet,High,High,Water Pump OFF,0,Optimal,High,High,1.0
1,39,Optimal,High,High,Water Pump ON,3,Wet,High,High,1.0
1,40,Wet,High,High,Water Pump OFF,0,Optimal,High,High,1.0
1,41,Optimal,High,High,Open shade curtains,3,Optimal,High,High,1.0
1,42,Optimal,High,High,Close shade curtains,3,Optimal,High,Medium,1.0
1,43,Optimal,High,Medium,Do nothing,7,Optimal,High,Medium,1.0
1,44,Optimal,High,Medium,Water Pump OFF,7,Dry,High,Medium,1.0
1,45,Dry,High,Medium,Heater OFF,4,Dry,Optimal,Medium,1.0
1,46,Dry,Optimal,Medium,Open shade curtains,7,Dry,Optimal,Medium,1.0
1,47,Dry,Optimal,Medium,Water Pump OFF,5,Optimal,Optimal,Medium,1.0
1,48,Optimal,Optimal,Medium,Heater OFF,10,Optimal,Low,Medium,1.0
1,49,Optimal,Low,Medium,Water Pump OFF,7,Dry,Low,Medium,1.0
1,50,Dry,Low,Medium,Close shade curtains,4,Dry,Low,High,1.0
2,1,Optimal,Low,High,Do nothing,3,Optimal,Low,High,0.98
2,2,Optimal,Low,High,Do nothing,3,Optimal,Low,High,0.98
2,3,Optimal,Low,High,Water Pump OFF,3,Dry,Low,High,0.98
2,4,Dry,Low,High,Water Pump ON,0,Optimal,Low,High,0.98
2,5,Optimal,Low,High,Water Pump ON,3,Wet,Low,High,0.98
2,6,Wet,Low,High,Open shade curtains,0,Wet,Low,High,0.98
2,7,Wet,Low,High,Water Pump OFF,0,Optimal,Low,High,0.98
2,8,Optimal,Low,High,Do nothing,3,Optimal,Low,High,0.98
2,9,Optimal,Low,High,Do nothing,3,Optimal,Low,High,0.98
2,10,Optimal,Low,High,Water Pump ON,3,Wet,Low,High,0.98
2,11,Wet,Low,High,Heater ON,0,Wet,Optimal,High,0.98
2,12,Wet,Optimal,High,Water Pump ON,-2,Wet,Optimal,High,0.98
2,13,Wet,Optimal,High,Heater OFF,3,Wet,Low,High,0.98
2,14,Wet,Low,High,Water Pump OFF,0,Optimal,Low,High,0.98
2,15,Optimal,Low,High,Open shade curtains,3,Optimal,Low,High,0.98
2,16,Optimal,Low,High,Water Pump OFF,3,Dry,Low,High,0.98
2,17,Dry,Low,High,Open shade curtains,0,Dry,Low,High,0.98
2,18,Dry,Low,High,Do nothing,0,Dry,Low,High,0.98
2,19,Dry,Low,High,Water Pump OFF,-2,Optimal,Low,High,0.98
2,20,Optimal,Low,High,Water Pump OFF,3,Dry,Low,High,0.98
2,21,Dry,Low,High,Heater OFF,0,Dry,Optimal,High,0.98
2,22,Dry,Optimal,High,Water Pump OFF,1,Optimal,Optimal,High,0.98
2,23,Optimal,Optimal,High,Open shade curtains,6,Optimal,Optimal,High,0.98
2,24,Optimal,Optimal,High,Close shade curtains,6,Optimal,Optimal,High,0.98
2,25,Optimal,Optimal,High,Water Pump ON,6,Wet,Optimal,High,0.98
2,26,Wet,Optimal,High,Water Pump ON,-2,Wet,Optimal,High,0.98
2,27,Wet,Optimal,High,Do nothing,3,Wet,Optimal,High,0.98
2,28,Wet,Optimal,High,Close shade curtains,3,Wet,Optimal,Medium,0.98
2,29,Wet,Optimal,Medium,Heater OFF,7,Wet,Low,Medium,0.98
2,30,Wet,Low,Medium,Water Pump ON,-1,Wet,Low,Medium,0.98
2,31,Wet,Low,Medium,Water Pump ON,-1,Wet,Low,Medium,0.98
